color, c, m, y, k, similar to Pantone
MOOTONE 262 M,86,8,0,0,Pantone 299c
MOOTONE 263 M,99,50,0,0,Pantone 300c
MOOTONE 264 M,100,52,4,19,Pantone 301c
MOOTONE 265 M,100,48,12,58,Pantone 302c
MOOTONE 266 M,100,47,22,82,Pantone 303c
MOOTONE 267 M,34,0,6,0,Pantone 304c
MOOTONE 268 M,54,0,6,0,Pantone 305c
MOOTONE 269 M,75,0,5,0,Pantone 306c
MOOTONE 270 M,100,13,1,2,Pantone Process Blue c
MOOTONE 271 M,100,22,2,18,Pantone 307c
MOOTONE 272 M,100,18,8,50,Pantone 308c
MOOTONE 273 M,99,27,22,80,Pantone 309c
MOOTONE 274 M,48,0,9,0,Pantone 310c
MOOTONE 275 M,68,0,13,0,Pantone 311c
MOOTONE 276 M,88,0,11,0,Pantone 312c
MOOTONE 277 M,100,0,11,2,Pantone 313c
MOOTONE 278 M,100,5,14,17,Pantone 314c
MOOTONE 279 M,100,12,21,44,Pantone 315c
MOOTONE 280 M,97,21,33,73,Pantone 316c
MOOTONE 281 M,44,0,11,0,Pantone 3105c
MOOTONE 282 M,58,0,14,0,Pantone 3115c
MOOTONE 283 M,84,0,18,0,Pantone 3125c
MOOTONE 284 M,100,0,20,0,Pantone 3135c
MOOTONE 285 M,100,10,29,20,Pantone 3145c
MOOTONE 286 M,100,9,29,47,Pantone 3155c
MOOTONE 287 M,100,16,33,66,Pantone 3165c
MOOTONE 288 M,23,0,10,0,Pantone 317c
MOOTONE 289 M,40,0,14,0,Pantone 318c
MOOTONE 290 M,58,0,22,0,Pantone 319c
MOOTONE 291 M,96,0,31,2,Pantone 320c
MOOTONE 292 M,96,3,35,12,Pantone 321c
MOOTONE 293 M,97,9,39,34,Pantone 322c
MOOTONE 294 M,96,16,42,57,Pantone 323c
MOOTONE 295 M,35,0,14,0,Pantone 324c
MOOTONE 296 M,52,0,23,0,Pantone 325c
MOOTONE 297 M,81,0,39,0,Pantone 326c
MOOTONE 298 M,100,2,60,14,Pantone 327c
MOOTONE 299 M,100,10,61,38,Pantone 328c
MOOTONE 300 M,100,14,60,49,Pantone 329c
MOOTONE 301 M,90,21,60,65,Pantone 330c
MOOTONE 302 M,44,0,20,0,Pantone 3242c
MOOTONE 303 M,49,0,23,0,Pantone 3252c
MOOTONE 304 M,76,0,38,0,Pantone 3262c
MOOTONE 305 M,94,0,48,0,Pantone 3272c
MOOTONE 306 M,100,4,56,8,Pantone 3282c
MOOTONE 307 M,98,14,65,51,Pantone 3292c
MOOTONE 308 M,90,21,65,69,Pantone 3302c
MOOTONE 309 M,42,0,24,0,Pantone 3245c
MOOTONE 310 M,48,0,25,0,Pantone 3255c
MOOTONE 311 M,66,0,39,0,Pantone 3265c
MOOTONE 312 M,90,0,52,0,Pantone 3275c
MOOTONE 313 M,98,0,58,0,Pantone 3285c
MOOTONE 314 M,100,5,65,26,Pantone 3295c
MOOTONE 315 M,92,25,70,68,Pantone 3305c
MOOTONE 316 M,48,0,22,0,Pantone 3248c
MOOTONE 317 M,58,0,30,0,Pantone 3258c
MOOTONE 318 M,86,0,52,0,Pantone 3268c
MOOTONE 319 M,99,0,69,0,Pantone 3278c
MOOTONE 320 M,99,3,68,12,Pantone 3288c
MOOTONE 321 M,99,11,72,35,Pantone 3298c
MOOTONE 322 M,94,28,74,73,Pantone 3308c
MOOTONE 323 M,27,0,15,0,Pantone 331c
MOOTONE 324 M,33,0,18,0,Pantone 332c
MOOTONE 325 M,49,0,28,0,Pantone 333c
MOOTONE 326 M,93,0,63,0,Pantone Green c
MOOTONE 327 M,99,0,70,0,Pantone 334c
MOOTONE 328 M,97,6,69,19,Pantone 335c
MOOTONE 329 M,95,11,70,44,Pantone 336c
MOOTONE 330 M,39,0,22,0,Pantone 337c
MOOTONE 331 M,50,0,31,0,Pantone 338c
MOOTONE 332 M,84,0,58,0,Pantone 339c
MOOTONE 333 M,99,0,84,0,Pantone 340c
MOOTONE 334 M,95,5,82,24,Pantone 341c
MOOTONE 335 M,93,10,75,43,Pantone 342c
MOOTONE 336 M,89,19,72,60,Pantone 343c
MOOTONE 337 M,36,0,24,0,Pantone 3375c
MOOTONE 338 M,43,0,28,0,Pantone 3385c
MOOTONE 339 M,66,0,48,0,Pantone 3395c
MOOTONE 340 M,88,0,68,0,Pantone 3405c
MOOTONE 341 M,97,10,86,18,Pantone 3415c
