color, c, m, y, k, r, g, b
MOOTONE 432 M,30,20,19,58,112,115,114
MOOTONE 433 M,48,29,26,76,84,88,90
MOOTONE 434 M,94,77,52,94,37,40,42
MOOTONE 435 M,7,3,5,8,208,211,212
MOOTONE 436 M,10,4,4,14,193,198,200
MOOTONE 437 M,21,11,9,23,162,170,173
MOOTONE 438 M,33,18,13,40,124,135,142
MOOTONE 439 M,45,25,16,58,91,103,112
MOOTONE 440 M,65,43,26,78,51,63,72
MOOTONE 441 M,90,68,41,90,29,37,45
MOOTONE 442 M,5,11,8,12,208,196,197
MOOTONE 443 M,9,16,8,19,193,178,182
MOOTONE 444 M,12,24,9,28,171,152,157
MOOTONE 445 M,21,40,18,56,123,100,105
MOOTONE 446 M,42,56,47,77,88,68,70
MOOTONE 447 M,52,61,47,83,69,53,54
MOOTONE 448 M,63,62,58,88,56,46,44
MOOTONE 449 M,22,4,15,8,190,198,196
MOOTONE 450 M,25,7,19,20,162,172,171
MOOTONE 451 M,33,12,18,30,145,157,157
MOOTONE 452 M,45,16,25,50,113,124,125
MOOTONE 453 M,52,23,30,74,80,87,89
MOOTONE 454 M,54,27,36,82,63,68,68
MOOTONE 455 M,50,30,40,90,55,58,54
MOOTONE 456 M,33,43,80,82,74,65,42
MOOTONE 457 M,31,38,75,76,82,71,39
MOOTONE 458 M,32,39,87,74,89,74,37
MOOTONE 459 M,21,15,54,31,155,148,95
MOOTONE 460 M,16,11,45,25,176,170,126
MOOTONE 461 M,11,7,35,15,191,187,152
MOOTONE 462 M,11,5,29,8,202,199,167
MOOTONE 463 M,24,42,91,75,97,79,37
MOOTONE 464 M,19,35,90,55,140,119,50
MOOTONE 465 M,16,27,83,42,153,133,66
MOOTONE 466 M,13,19,62,28,179,163,105
MOOTONE 467 M,9,12,47,18,197,183,131
MOOTONE 468 M,6,8,35,12,207,196,147
MOOTONE 469 M,5,6,30,4,213,203,159
MOOTONE 470 M,23,38,89,70,105,91,36
MOOTONE 471 M,10,23,100,43,162,142,42
MOOTONE 472 M,9,24,100,32,184,157,24
MOOTONE 473 M,5,4,73,7,217,199,86
MOOTONE 474 M,5,3,64,4,222,205,99
MOOTONE 475 M,2,2,55,3,228,215,126
MOOTONE 476 M,2,1,45,2,233,223,151
MOOTONE 477 M,28,48,71,73,92,70,43
MOOTONE 478 M,14,54,95,62,116,79,40
MOOTONE 479 M,11,52,94,52,139,91,41
MOOTONE 480 M,9,29,66,24,185,151,91
MOOTONE 481 M,8,23,52,15,198,170,118
MOOTONE 482 M,6,15,41,10,211,188,141
MOOTONE 483 M,6,13,41,4,221,203,164
MOOTONE 484 M,30,72,74,80,79,44,29
MOOTONE 485 M,12,58,81,42,148,96,55
MOOTONE 486 M,11,46,64,30,173,124,89
MOOTONE 487 M,8,41,51,20,191,148,116
MOOTONE 488 M,5,30,38,12,205,167,136
MOOTONE 489 M,5,20,28,6,220,191,166
MOOTONE 490 M,2,15,23,5,224,198,173
MOOTONE 491 M,24,79,100,73,105,63,35
MOOTONE 492 M,7,70,99,38,164,90,42
MOOTONE 493 M,5,71,100,23,184,97,37
MOOTONE 494 M,1,46,63,1,229,158,109
MOOTONE 495 M,0,20,35,6,240,191,155
MOOTONE 496 M,0,18,31,5,241,198,167
MOOTONE 497 M,0,15,26,5,243,207,179
MOOTONE 498 M,24,85,100,76,91,52,39
MOOTONE 499 M,24,70,71,58,124,77,58
MOOTONE 500 M,17,58,60,45,149,108,88
MOOTONE 501 M,13,42,43,31,174,138,121
MOOTONE 502 M,7,28,27,16,192,163,146
MOOTONE 503 M,5,22,23,14,205,181,167
MOOTONE 504 M,3,16,20,9,215,196,183
MOOTONE 505 M,30,71,75,81,78,54,41
MOOTONE 506 M,23,75,78,69,98,59,42
MOOTONE 507 M,19,79,84,61,112,63,42
MOOTONE 508 M,14,48,52,26,170,128,102
MOOTONE 509 M,8,29,32,13,198,169,146
MOOTONE 510 M,5,23,27,10,211,187,168
MOOTONE 511 M,4,17,21,7,219,200,182
MOOTONE 512 M,21,80,81,69,101,48,36
MOOTONE 513 M,8,92,100,33,154,51,36
MOOTONE 514 M,0,81,87,15,218,41,28
MOOTONE 515 M,0,37,47,9,232,146,124
MOOTONE 516 M,0,29,37,8,234,167,148
MOOTONE 517 M,0,21,29,7,236,186,168
MOOTONE 518 M,0,17,25,7,236,195,178
MOOTONE 519 M,26,85,85,72,93,42,44
MOOTONE 520 M,18,85,65,55,127,48,53
MOOTONE 521 M,11,85,60,48,143,50,55
MOOTONE 522 M,2,57,17,3,220,134,153
MOOTONE 523 M,0,30,24,9,233,162,178
MOOTONE 524 M,0,22,17,5,241,189,200
MOOTONE 525 M,0,18,14,5,242,198,207
MOOTONE 526 M,30,73,74,78,81,47,46
MOOTONE 527 M,23,78,77,65,106,55,53
MOOTONE 528 M,21,73,58,56,122,62,58
MOOTONE 529 M,6,50,21,14,198,133,143
MOOTONE 530 M,1,39,11,5,218,165,173
MOOTONE 531 M,0,19,16,10,229,186,193
MOOTONE 532 M,0,16,15,9,233,196,199
MOOTONE 533 M,36,84,58,85,63,32,33
MOOTONE 534 M,22,74,38,47,135,75,82
MOOTONE 535 M,15,62,30,38,156,97,105
MOOTONE 536 M,10,52,25,29,176,124,131
MOOTONE 537 M,5,35,14,10,204,161,166
MOOTONE 538 M,3,30,13,7,219,183,187
MOOTONE 539 M,1,18,8,3,223,194,195
MOOTONE 540 M,29,82,44,73,87,41,50
MOOTONE 541 M,19,82,44,65,111,44,63
MOOTONE 542 M,19,86,38,57,132,52,78
MOOTONE 543 M,4,51,7,6,213,146,170
MOOTONE 544 M,1,41,4,2,228,169,187
MOOTONE 545 M,1,36,3,0,232,179,195
MOOTONE 546 M,0,19,14,8,235,190,203
MOOTONE 547 M,50,99,9,58,97,44,81
MOOTONE 548 M,52,99,3,18,131,49,119
MOOTONE 549 M,52,99,0,0,147,50,142
MOOTONE 550 M,16,55,0,0,212,139,200
MOOTONE 551 M,8,42,0,0,226,172,215
MOOTONE 552 M,4,31,0,0,230,190,221
MOOTONE 553 M,2,25,0,0,235,198,223
MOOTONE 554 M,51,91,21,70,81,42,68
MOOTONE 555 M,42,81,11,49,105,60,94
MOOTONE 556 M,36,68,10,31,126,84,117
MOOTONE 557 M,25,51,5,20,155,119,147
